FID,src_name,src_link,ev_id,ev_date,ev_time,ev_title,ev_desc,loc_desc,loc_accu,ls_cat,ls_trig,ls_size,ls_setting,fatalities,injuries,storm_name,photo_link,comments,ev_imp_src,ev_imp_id,latitude,longitude,ctry_name,ctry_code,div_name,gaz_point,gaz_dist,sub_date,edit_date,lon,lat,dt
7,The Kathmandu Post,https://kathmandupost.com/opinion/2018/08/31/plan-and-prepare,14284,1535760000000.0,unknown,Jajarkot Debris Flow (8 fatalities),Debris Flow in Jajarkot district killed 8 children when house was buried.,"Jajarkot District, Nepal",25km,debris_flow,monsoon,large,unknown,8,0, , , ,GLC, ,28.87534178,82.15647284,Nepal,NP,Bheri,Dumjala,8.66,1595980800000.0,1606348800000,9145616.721474936,3359789.383465951,2018-09-01
22,The Kathmandu Post,https://kathmandupost.com/opinion/2018/08/31/plan-and-prepare,14315,1535760000000.0,unknown,Nuwakot Landslide,Landslide damaged bridge on highway at Nuwakot during monsoon season.,"Nuwakot, Lumbini, Nepal",5km,landslide,monsoon,unknown,above_road,0,0, , , ,GLC, ,27.96216117,83.05240785,Nepal,NP,Lumbini,Rajiya,16.12,1595980800000.0,1606348800000,9245351.750905966,3244204.015563046,2018-09-01
31,The Tribune,https://www.tribuneindia.com/news/archive/j-k/state-nhai-pass-the-buck-over-condition-of-nhs-647297,14350,1535500800000.0,unknown,Kheri Landslide,"Landslide triggered by rain occurred at Kheri near Udhampur, blocking the Jammu-Srinagar National Highway and causing heavy traffic even after the debris was cleared.","Kheri, Jammu, Jammu & Kashmir, IND",5km,landslide,rain,medium,above_road,0,0, , , ,GLC, ,32.79349919,74.82127414,India,IN,Jammu and Kashmir,Kurwanda,3.47,1597104000000.0,1606348800000,8329066.137768735,3867926.401727747,2018-08-29
40,The Kathmandu Post,https://reliefweb.int/report/nepal/concrete-bridge-swept-flood-barhabise,14281,1534550400000.0,22:00,Barhabise Debris Flow,Debris flow damaged bridge on the highway at Barhabise during monsoon season.,"Barhabise, Bagmati, Nepal",5km,debris_flow,monsoon,unknown,above_road,0,0, , , ,GLC, ,27.79444886,85.91077939,Nepal,NP,Bagmati,Barahbise,1.2,1595980800000.0,1606348800000,9563544.215682024,3223083.1236523353,2018-08-18
48,Outlook India,https://www.outlookindia.com/newsscroll/3-children-killed-as-landslide-buries-house/1375404,14335,1535846400000.0,unknown,Landslide at Baphukhola Kills 3,"Continuous rainfall in Western Nepal triggered a landslide at Baphukhola in Bahchaur of Saylan district that buried a house, killing 3 children.","Baphukhola, Bagchaur, Saylan, Nepal",5km,landslide,continuous_rain,medium,unknown,3,0, , , ,GLC, ,28.5051914,82.39631687,Nepal,NP,Rapti,Baramelo,7.44,1596931200000.0,1606348800000,9172316.037209624,3312817.4694013414,2018-09-02
52,The Tribune India,https://www.tribuneindia.com/news/archive/himachal/traffic-restored-on-hatkoti-highway-after-24-hours-647198,14326,1535846400000.0,unknown,Landslip on Theog-Hatkoti-Rohru Highway,"During India's rainy season a landslide occurred on the Theog-Hatkoti-Rohru Highway blocking the road, but was cleared after 24 hours. This was one slide of many in the area causing various traffic delays.","Theog-Hatkoti-Rohru highway, Shimla, Himachal Pradesh, 171205",25km,landslide,rain,small,above_road,0,0, ,https://images.tribuneindia.com/cms/gall_content/2018/9/2018_9$largeimg03_Monday_2018_231924595.jpg, ,GLC, ,31.11294766,77.61442829,India,IN,Himachal Pradesh,Saura,13.0,1597536000000.0,1606348800000,8639998.635231216,3647426.2504236344,2018-09-02
55,Biharprabha News,https://news.biharprabha.com/2018/09/shimla-kalka-heritage-railway-track-blocked-after-landslide/,14386,1536537600000.0,unknown,Shimla-Kalla Heritage Railway landslide.,The Shimla-Kalla heritage railway track was blocked by a landslide.,"Shimla-Kalka Road, Chaura Maidan, Shimla, Himachal Pradesh, 171004",5km,landslide,unknown,unknown,unknown,0,0, , , ,GLC, ,31.1026923,77.15932841,India,IN,Himachal Pradesh,Simla,8.68,1594771200000.0,1606348800000,8589337.148886135,3646092.8874818557,2018-09-10
58,The Tribune India,https://www.tribuneindia.com/news/archive/himachal/landslide-blocks-kangra-highway-640047,14483,1534723200000.0,06:00,Kangra-Chandigarh National Highway Landslide,"A landslide induced by heavy rain from the day prior fell on the Kangra-Chandigarh National Highway, causing closure in both lanes for hours.","Kangra-Chandigarh National Highway, Himachal Pradesh, IND",50km,landslide,rain,large,above_road,0,0, ,https://images.tribuneindia.com/cms/gall_content/2018/8/2018_8$largeimg20_Monday_2018_231548496.jpg, ,GLC, ,31.49579417,76.23393204,India,IN,Himachal Pradesh,Gobindpur,16.55,1598227200000.0,1606348800000,8486322.495750513,3697306.235355713,2018-08-20
60,Khaleej Times,https://www.pressreader.com/uae/khaleej-times/20181031/281947428849053,14397,1540857600000.0,unknown,"Landslide closes highway, 1 dead",A landslide that shut down a stretch of the Jammu-Srinagar highway in Ramban district. One man was kidded after being hit by rubble sliding down mountain sides in Digdol area.,Jammu-Srinagar highway in Digol area,1km,landslide,continuous_rain,medium,above_road,1,0, , ,Night-long rains in Ramban district triggered the landslide. Multiple landslide were reported.,GLC, ,33.30077774,75.18148186,India,IN,Jammu and Kashmir,Gund,14.88,1596412800000.0,1606348800000,8369164.277627618,3935295.5679173474,2018-10-30
63,The News,https://www.thenews.com.pk/print/392439-mudslide-kills-two-women-in-haripur,14393,1541808000000.0,unknown,Mudslide kills two women in Haripur,Two women were killed and another injured by a mudslide in Charwai Amazai village of Ghazi tehsil of Haripur district on Saturday. They were digging mud from a hill for use in renovation of their mud-house when a part of the hill caved in and buried them,"Charwai Amazai village of Ghazi tehsil of Haripur district, Pakistan",1km,mudslide,construction,medium,natural_slope,2,1, , ,This is a human triggered event.,GLC, ,34.019611,72.65975,Pakistan,PK,North-West Frontier,Tarbela Dam,5.78,1596585600000.0,1606348800000,8088446.371166562,4031435.6083634174,2018-11-10
64,The Tribune,https://www.tribuneindia.com/news/archive/j-k/state-nhai-pass-the-buck-over-condition-of-nhs-647297,14459,1534809600000.0,unknown,Kuligad Landslide,Seven people died when a landslide on the Batote-Kishtwar Highway hit a vehicle at Kuligad near Thathri during the rainy season.,"Kuligad, Thathri, Doda, Jammu & Kashmir, IND",10km,landslide,rain,unknown,above_road,7,0, , ,Unable to locate Kuligad.,GLC, ,33.1454521,75.78025691,India,IN,Jammu and Kashmir,Khandhot,4.6,1597104000000.0,1606348800000,8435819.611404657,3914626.2494061748,2018-08-21
67,Daiji World,https://www.daijiworld.com/news/newsDisplay.aspx?newsID=535692,14465,1541203200000.0,09:00,"Landslides kills nine-year-old girl in Jammu and Kashmir, India","Landslides triggered by incessant rains closed the strategic Jammu-Srinagar highway. A nine-year-old-girl has died and three of her relatives have been injured in the Rajouri District of Jammu and Kashmir, India.","Jammu-Srinagar highway, Ramban, Jammu & Kashmir, 182148",50km,landslide,continuous_rain,medium,above_road,1,3, , ,Incessant rains caused multiple landslides in Ramban district during the week.,GLC, ,33.25426998,75.20536699,India,IN,Jammu and Kashmir,Chaunkri,18.46,1596499200000.0,1606348800000,8371823.158693346,3929102.8891060827,2018-11-03
70,China.org.cn,http://www.china.org.cn/world/Off_the_Wire/2018-09/24/content_63945761.htm,14332,1537833600000.0,unknown,Bhotli Landslide,5 family members were killed after a landslide triggered by overnight rains hit their mud house.,"Bhotli, Gandoh area of Doda District, Kashmir, IND",5km,landslide,rain,medium,natural_slope,5,0, , , ,GLC, ,33.0498709,75.94928866,India,IN,Jammu and Kashmir,Gondo,3.18,1598659200000.0,1606348800000,8454636.139742551,3901925.3640482067,2018-09-25
91,The Tribune India,https://www.tribuneindia.com/news/archive/j-k/landslide-blocks-kishtwar-highway-659012,14446,1537920000000.0,07:00,"Sep 25, 2018 Batote-Kishtwar Landslide","Landslide in the Junglewad (Jangalwar) area of Doda blocked the Batote-Kishtwar national highway for 3 hours, with heavy machinery needed to clear the debris.","NH-244, Jangalwar, Doda, Jammu & Kashmir, IND",1km,landslide,unknown,medium,above_road,0,0, ,https://images.tribuneindia.com/cms/gall_content/2018/9/2018_9$largeimg26_Wednesday_2018_013031299.jpg, ,GLC, ,33.14419929,75.76778247,India,IN,Jammu and Kashmir,Khandhot,3.44,1598572800000.0,1606348800000,8434430.962650646,3914459.6854880718,2018-09-26
93,The Economic Times | India Times,https://economictimes.indiatimes.com/news/politics-and-nation/china-india-on-alert-as-landslide-blocks-river-flow-in-tibet/articleshow/66289662.cms,14400,1539734400000.0,06:00,Landslide on Yarlung Zangbo River Border,"A landslide south of Jiala Village in Tibet, has resulted in a river blockage and a formation of a barrier lake.","Jiala Village, Milin County, Tibet",5km,landslide,no_apparent_trigger,medium,natural_slope,0,0, ,"https://img.etimg.com/thumb/msid-66289661,width-300,imgsize-311235,,resizemode-4,quality-100/landslide-tibet-agencies.jpg",Both India and China are conducting analysis and reporting,GLC, ,29.35153042,89.62772894,China,CN,Xizang,Rinbung,25.02,1596758400000.0,1606348800000,9977313.146780992,3420464.5158728994,2018-10-17
97,Geomorphology,https://www.sciencedirect.com/science/article/abs/pii/0169555X94000856,14439,633484800000.0,unknown,Tal Valley Landslide,In the Tal Valley a landslide occurred with 4 meters of uplift along a 200 meter long and 25 meter wide part of the river consisting of complex rotational and slump processes.,"Tal River, Rajajii National Park, Uttarakhand, IND",1km,complex,other,large,above_river,0,0, , ,Estimated date.,GLC, ,29.99311111,78.33044444,India,IN,Uttaranchal,Rishikesh,11.11,1594771200000.0,1606348800000,8719705.189116893,3502664.3717866857,1990-01-28
98,Indian Geotechnical Journal,https://link.springer.com/article/10.1007/s40098-018-0343-1,14235,1502582400000.0,unknown,Kotropi Landslide,A stretch of 300 m on NH-154 was buried under debris after a landslide occurred at Kotropi triggered by heavy rainfall and previous minor landslides.,"Kotropi, Mandi District, Himachal Pradesh, IND",exact,debris_flow,downpour,large,above_road,0,0, , , ,GLC, ,31.91422878,76.8929866,India,IN,Himachal Pradesh,Bhuntar,14.73,1595203200000.0,1606348800000,8559688.113663375,3752057.080208713,2017-08-13
102,Outlook India,https://www.outlookindia.com/newsscroll/1-killed-another-missing-as-intermittent-rains-continue-in-ukhand/1364919,14200,1533772800000.0,unknown,Porter drowned,porter drowned after being pushed by landslide into Kali River,along Kali River between Nazang and Mangti,100km,landslide,rain,unknown,above_river,1,0, , , ,GLC, ,29.85124503,80.55415467,Nepal,NP,Mahakali,Tham,21.47,1589241600000.0,1606348800000,8967247.478813047,3484443.0735173025,2018-08-09
108,Outlook India,https://www.outlookindia.com/newsscroll/1-killed-another-missing-as-intermittent-rains-continue-in-ukhand/1364919,14194,1533772800000.0,unknown,Pithoragarh Landslide,An elderly man was killed during a landslide in Pithoragarh after being hit by a boulder and pushed into a waterfall. This landslide was caused by rains that had been persistent in the region over the past 24 hours.,"Pithoragarh, Uttarakhand, IND",25km,landslide,rain,unknown,natural_slope,1,0, , , ,GLC, ,30.04014521,80.31354955,India,IN,Uttaranchal,Mathkot,3.42,1589241600000.0,1606348800000,8940463.43981767,3508711.1798695405,2018-08-09
112,Daily Hunt,https://m.dailyhunt.in/news/india/english/the+english+post-epaper-tengpo/700+pilgrims+stranded+on+uttarakhand+highway+after+landslide-newsid-94318067,14081,1533859200000.0,12:00,Uttarakashi-Gangotri Hwy Landslide,A massive landslide on the Gangotri highway in Uttarakhand has left 700 pilgrims stranded.,"Surakki Village, Uttarakhand, IND",10km,landslide,rain,large,above_road,0,0, , , ,GLC, ,30.91714399,78.68361831,India,IN,Uttaranchal,Purali,13.27,1589414400000.0,1606348800000,8759020.323707547,3621993.382124902,2018-08-10
119,Outlook India,https://www.outlookindia.com/newsscroll/youth-killed-in-landslide-in-chamba/1364631,14113,1533686400000.0,unknown,Chamba Landslide,Incessant rains caused a landslide in Chamba near the Dunali Nazad Chhanchau area causing one death.,"Chamba Bypass, Surada, Chamba, Himachal Pradesh, 176310",10km,landslide,rain,medium,unknown,1,0, , , ,GLC, ,32.55696156,76.1291057,India,IN,Himachal Pradesh,Chamba,0.31,1589068800000.0,1606348800000,8474653.281516582,3836644.593619755,2018-08-08
123,The Tribune,https://www.tribuneindia.com/news/archive/himachal/landslide-in-dharamsala-village-8-houses-damaged-634810,14179,1533686400000.0,20:00,Kand Village Landslide,"A massive landslide damaged eight houses at Kand village, about 20 km from Dharamsala, on Wednesday night. The villagers have been given shelter at the Mahila Mandal Bhawan and the village community hall.  The landslide has brought down a significant por","Kand village, about 20 km from Dharamsala",1km,landslide,rain,large,natural_slope,0,0, ,https://images.tribuneindia.com/cms/gall_content/2018/8/2018_8$largeimg09_Thursday_2018_231139548.jpg, ,GLC, ,32.17102661,76.41866146,India,IN,Himachal Pradesh,Pathiar,3.93,1589328000000.0,1606348800000,8506886.481164722,3785781.5239919224,2018-08-08
125,The Tribune India,https://www.tribuneindia.com/news/archive/himachal/landslide-blocks-theog-hatkoti-road-633232,14164,1533513600000.0,unknown,Theog-Hatkoti road Blocked by Landslide,"A rain induced landslide blocked Theog-Hatkoti road causing traffic to be rerouted. Around 95 roads, including 41 in the Shimla zone and 40 in the Mandi zone, were blocked.",Along the Theog-Hatkoti Hwy near Nihari,25km,landslide,rain,small,above_road,0,0, , , ,GLC, ,31.12029184,77.35887837,India,IN,Himachal Pradesh,Gannja,26.38,1588982400000.0,1606348800000,8611550.948487192,3648381.2016136367,2018-08-06
126,The Kashmir Press,https://thekashmirpress.com/2018/08/10/flash-floods-mudslide-damage-property-in-leh/,14057,1533772800000.0,unknown,Leh Mudslide,"A rain induced mudslide occurred in Leh, Himachal Pradesh on the evening of August 9th. Flash floods led to mudslides in Saboo and Shey villages and caused property damage as well as damage to crops in the area. No injuries or fatalities were reported.","Leh, Himachal Pradesh, IND",5km,mudslide,rain,medium,above_road,0,0, , , ,GLC, ,34.16098224,77.55448943,India,IN,Jammu and Kashmir,Leh,2.82,1589328000000.0,1606348800000,8633326.27219124,4050438.5453703236,2018-08-09
138,The Himalayan Times,https://thehimalayantimes.com/nepal/landslip-buries-two-houses-in-jajarkot-several-casualties-feared/,14203,1533427200000.0,07:00,Thati Bazaar Landslip,"A landslip occurred near Thati Bazaar, burying around 12 persons under the debris",near Thati Bazaar in Jajarkot,10km,landslide,unknown,medium,natural_slope,1,12, ,https://thehimalayantimes.com/wp-content/uploads/2018/08/Landslide.jpg, ,GLC, ,28.69472685,82.21129644,Nepal,NP,Bheri,Jajarkot,0.84,1588291200000.0,1606348800000,9151719.656933028,3336848.682550192,2018-08-05
146,NDTV,https://www.ndtv.com/india-news/landslide-hits-jammu-srinagar-highway-hundreds-of-vehicles-stranded-1963119,14038,1544832000000.0,11:00,Landslide near Ramsu,"A landslide occurred near Ramsu in Banihal at around 11 am due to heavy snowfall, blocking thru traffic for 5 hours before it was reopened again after the road was cleared.",Occured at Gangroo near Ramsu,5km,landslide,snowfall_snowmelt,small,above_road,0,0, , ,This region is known for heavy snowfall during winter.,GLC, ,33.33197566,75.20070999,India,IN,Jammu and Kashmir,Gund,11.32,1588291200000.0,1606348800000,8371304.743268129,3939451.536966803,2018-12-15
154,The Tribune India,https://www.tribuneindia.com/news/archive/chandigarh/morni-remains-cut-off-from-p-kula-for-four-hours-due-to-landslides-637171,14110,1534118400000.0,unknown,Morni Landslides,Morni was had all routes cut off towards Panchkula due to landslides for about four hours on Monday. The landslides causing the closures were induced by rain. In Thathar Village 12 goats died as a result of a shed collapsing caused by a landslide.,"Morni, Haryana, IND",10km,landslide,monsoon,medium,unknown,0,0, , , ,GLC, ,30.7384152,76.98640069,India,IN,Haryana,Pinjaur,8.98,1589587200000.0,1606348800000,8570086.922261132,3598823.7711962005,2018-08-13
173,SBS News,https://www.sbs.com.au/news/five-dead-four-missing-in-nepal-landslide,14035,1533427200000.0,unknown,Jajarkot District Landslide,"A landslide hit near Khalanga in the Jajarkot district in Bheri, about 310 km from Kathmandu burying several houses and causing at least 9 casualties.","Athbiskot, Rapti",250km,landslide,downpour,unknown,natural_slope,9,0, ,https://assets-api.kathmandupost.com/thumb.php?src=https://assets-cdn.kathmandupost.com/uploads/source/news/2018/others/1-05082-2-2-udhar-33_1533518340.jpg&w=900&height=601, ,GLC, ,28.82707703,82.39104977,Nepal,NP,Rapti,Dumjala,21.91,1588377600000.0,1606348800000,9171729.706430985,3353655.171858718,2018-08-05
174,Daily Hunt,https://m.dailyhunt.in/news/india/english/the+english+post-epaper-tengpo/700+pilgrims+stranded+on+uttarakhand+highway+after+landslide-newsid-94318067,14102,1533686400000.0,12:00,Dharali Landslide,"A massive landslide occurred in Dharali (about 80km from Uttarkashi) which caused problems with clearing the highway. According to the news, material continued to fall from the hillslopes due to the rain.","Dharali, Uttarakhand, IND",10km,landslide,rain,large,above_road,0,0, , ,Two days before another landslide in Dehradun.,GLC, ,30.82129895,78.23265711,India,IN,Uttaranchal,Uttarkashi,22.13,1589328000000.0,1606348800000,8708819.552556023,3609563.0921365265,2018-08-08
178,The Tribune India,https://www.tribuneindia.com/news/archive/j-k/landslide-cuts-off-kashtighar-from-doda-dist-670633,14212,1539907200000.0,08:00,Acha-Mod Landslide,"Landslide of boulders and mud cut off road that connects the Kashtighar tehsil with the Doda District, around 20 km from the Doda District Headquarters. It is thought that the cause is road construction.","Acha-Mod, Road that connects Kashighar tehsil with Doda District, 20 km from Doda Headquarters, India",25km,landslide,construction,medium,above_road,0,0, ,https://images.tribuneindia.com/cms/gall_content/2018/10/2018_10$largeimg19_Friday_2018_233440504.jpg,Many events occur in this area.,GLC, ,33.21265327,75.3625123,India,IN,Jammu and Kashmir,Panjan,15.95,1589500800000.0,1606348800000,8389316.49424914,3923564.263793263,2018-10-19
183,Biharprabha.com,https://news.biharprabha.com/2018/08/watch-himachal-pradeshs-bilaspur-witnesses-landslide/,14055,1533859200000.0,unknown,Bilaspur Landslides,A landslide occurred in Himachal Pradesh’s Bilaspur following incessant rainfall. Vehicular traffic has been stopped in the area.,"Bilaspur, Himachal Pradesh, IND",5km,landslide,rain,unknown,above_road,0,0, , , ,GLC, ,31.34335179,76.76200671,India,IN,Himachal Pradesh,Bilaspur,1.98,1589414400000.0,1606348800000,8545107.499115735,3677420.649960937,2018-08-10
188,News 18 India,https://www.news18.com/news/india/jammu-srinagar-national-highway-closed-due-to-landslide-in-ramban-2435175.html,14063,1545091200000.0,unknown,Landslide on Jammu-Srinagar National Highway in Ramban,Falling rocks blocked the roadway on the Jammu-Srinagar National Highway in Ramban District in Jammu. There has been prvious rock falls in the area at around the same time and warnings had been sent out for commuters to be aware. The rocks were coming fr,Jammu-Srinagar National Highway in Ramban District,1km,rock_fall,snowfall_snowmelt,medium,above_road,0,0, , ,There has been previous reports of the area closing from snowfall.,GLC, ,33.24019317,75.23888989,India,IN,Jammu and Kashmir,Chaunkri,20.46,1588291200000.0,1606348800000,8375554.910739945,3927229.159625342,2018-12-18
199,The Kashmir Press,https://thekashmirpress.com/2018/08/13/himachal-pradesh-landslide-4-of-family-including-2-children-buried-alive/,14117,1534118400000.0,03:00,Chakla Landslide,"A mudslide occurred in Chakla at around 3am on the 13th, burying a family of four in their home in their sleep.","Chakla, Himachal Pradesh, IND",25km,mudslide,rain,medium,unknown,4,0, , , ,GLC, ,32.02547867,76.16692599,India,IN,Himachal Pradesh,Katnor,7.93,1590019200000.0,1606348800000,8478863.416384442,3766655.5634994223,2018-08-13
239,AGU Blogsphere,https://blogs.agu.org/landslideblog/2018/10/09/shongtong-1/,14202,1429142400000.0,unknown,Mebar Landslide,"Estimated date. Construction on the national highway tunnel caused a mass of rocks to collapse and block the road in Mebar Village, below Barang Village.",Along National Highway 22 near Mebar Village and above Barang Village,10km,landslide,construction,medium,above_road,0,0, , ,"Estimated date, April 2015.",GLC, ,31.49911602,78.22419099,India,IN,Himachal Pradesh,Oling,5.93,1590796800000.0,1606348800000,8707877.108833905,3697739.919577428,2015-04-16
250,Biharprabha,https://news.biharprabha.com/2018/08/landslide-damages-century-old-railway-track-in-west-bengal/,14215,1533168000000.0,unknown,Kurseong Landslide,"A landslide occurred in Kurseong, approximately 32 km away from Darjeeling hills. This landslide damaged a century old railway track and blocked the highway northbound to Darjeeling.","Kurseong, 32 kilometres (20 miles) away from the popular hill station of Darjeeling.",10km,landslide,rain,medium,above_road,0,0, , ,Many landslides over the years concentrated within this city.,GLC, ,26.87653701,88.27487677,India,IN,West Bengal,Kurseong,0.92,1588377600000.0,1606348800000,9826714.332098022,3108055.1294729174,2018-08-02
251,Daijy World,http://www.daijiworld.com/news/newsDisplay.aspx?newsID=523562,14071,1534118400000.0,unknown,Kandaghat Landslide,"A landslide in the Chakla village in Kandaghat buried 5 people, killing one.","Chakla Village, Kandaghat, Shimla, Himachal Pradesh, IND",1km,landslide,rain,medium,unknown,1,4, , , ,GLC, ,31.05513474,77.02399952,India,IN,Himachal Pradesh,Simla,5.32,1589587200000.0,1606348800000,8574272.404982477,3639911.5112304725,2018-08-13
255,The Himalayan Times,https://thehimalayantimes.com/nepal/torrential-rains-flood-landslip-wreak-havoc-across-the-country/,14077,1534291200000.0,unknown,Besi Shahar-Chame road Landslide,A landslide occurring along the Besi Shahar-Chame road section has swept away a 150-meter-long stretch of the roadway bringing vehicular movement to a complete halt along with the washing away of 12 houses.,Besi Shahar-Chame road,25km,landslide,rain,medium,above_road,0,0, ,https://thehimalayantimes.com/wp-content/uploads/2018/08/manag-222.jpg, ,GLC, ,28.17096627,84.43234852,Nepal,NP,Gandaki,Bartar,5.44,1590105600000.0,1606348800000,9398966.044171892,3270545.873792479,2018-08-15
262,Biharprabha News,https://news.biharprabha.com/2018/10/national-highway-305-blocked-after-landslide-in-hps-mandi/,14125,1539043200000.0,unknown,Bali Chowki Landslide,National Highway 305 between Rampur and Aut blocked at Bali Chowki after landslide. The area has frequent landslides due to monsoon rain and flash flooding.,"NH-305 between Rampur and Aut, at Bali Chowki",5km,landslide,rain,small,above_road,0,0, , , ,GLC, ,31.6891217,77.27867699,India,IN,Himachal Pradesh,Manglaor,6.4,1590796800000.0,1606348800000,8602622.971815994,3722571.841811819,2018-10-09
264,AGU Blogsphere,https://blogs.agu.org/landslideblog/2018/10/09/shongtong-1/,14116,1539129600000.0,unknown,Shongtong Landslide,Construction for a new hydroelectric facility caused landslides at Shongton., Near the site of a new hydroelectric facility at Shongtong Karcham in Kinnaur,5km,landslide,construction,medium,natural_slope,0,0, ,https://blogs.agu.org/landslideblog/files/2018/10/18_10-kinnaur-1-e1539064485854.jpg, ,GLC, ,31.51688414,78.2689368,India,IN,Himachal Pradesh,Oling,10.26,1590796800000.0,1606348800000,8712858.189395599,3700059.8989356924,2018-10-10
266,The Tribune,https://www.tribuneindia.com/news/archive/himachal/sangla-cut-off-after-landslide-636348,14146,1534032000000.0,16:00,Sangla Valley Landslide,A landslide in the Sangla valley blocked the highway. Karcham-Sangla road was blocked after rain.,Karcham-Sangla road,25km,landslide,rain,medium,above_road,0,0, ,https://images.tribuneindia.com/cms/gall_content/2018/8/2018_8$largeimg13_Monday_2018_000035434.jpg, ,GLC, ,31.42500223,78.26035019,India,IN,Himachal Pradesh,Oling,12.81,1589500800000.0,1606348800000,8711902.332454076,3688067.6493624,2018-08-12
267,The Tribune India,https://www.tribuneindia.com/news/archive/himachal/road-traffic-disrupted-for-hours-due-to-landslip-near-sanwara-667685,14079,1539388800000.0,16:00,Sanwara Landslide,"Road traffic disrupted for 2.5 hours due to major landslide near Sanwara that spread 40m across National Highway (NH5). Several landslides occurred during rains, but the surface had settled and the landslide was triggered by excavation to make the highwa",National Highway 5 near Sonwara,10km,landslide,construction,small,above_road,0,0, , , ,GLC, ,30.89560904,77.00451279,India,IN,Himachal Pradesh,Kalka,9.22,1590624000000.0,1606348800000,8572103.153012207,3619199.398129626,2018-10-13
271,The Himalayan Times,https://thehimalayantimes.com/nepal/fresh-landslip-disrupts-narayangadh-muglin-road-again/,14213,1533340800000.0,15:00,Narayangadh-Muglin Road Landslip,The landslip near Jalbire blocked the Narayangadh-Muglin Road,"Ichhakamana Rural Municipality-6, Jalbire",10km,landslide,unknown,small,above_road,0,0, , , ,GLC, ,27.81856897,84.46740047,Nepal,NP,Narayani,Narayangarh,15.45,1588291200000.0,1606348800000,9402868.008506646,3226118.684476319,2018-08-04
335,The Tribune India,https://www.tribuneindia.com/news/archive/j-k/4-killed-as-landslide-hits-vehicle-in-kishtwar-639968,14429,1534723200000.0,unknown,Kishtwar Landslide,A landslide struck at Kulligad on the Kishtwar-Paddar road which killed 4 people and injured 9.,"Kishtwar, Jammu & Kashmir",10km,rock_fall,unknown,large,above_road,4,9, ,https://images.tribuneindia.com/cms/gall_content/2018/8/2018_8$largeimg20_Monday_2018_124437486.jpg, ,GLC, ,33.31580965,75.76341339,India,IN,Jammu and Kashmir,Ariz,7.07,1598227200000.0,1606348800000,8433944.598889817,3937297.8285341137,2018-08-20
354,The Tribune India,https://www.tribuneindia.com/news/archive/himachal/landslide-blocks-shimla-hatkoti-road-646780,14325,1535846400000.0,unknown,Nihari Landslide,Landslide triggered by rains blocked the Shimla-Hatkoti road near Nihari.,"Nihari, Himachal Pradesh",1km,landslide,rain,unknown,above_road,0,0, , , ,GLC, ,31.10756408,77.21537742,India,IN,Himachal Pradesh,Simla,13.97,1595203200000.0,1606348800000,8595576.495916162,3646726.27996097,2018-09-02
376,Pen News,https://www.pennews.net/uttarakhand/2018/09/04/fourteen-dead-as-van-falls-into-river-bhagirathi-following-landslide,14464,1535932800000.0,unknown,River Bhagirathi Landslide,14 people died when a van fell into River Bhagirathi following a landslide along the Rishikesh-Gangotri Highway.,"Bhagirathi River, Rishikesh-Gangotri Highway, Uttarkashi, Uttarakhand, IND",25km,landslide,unknown,large,above_river,14,1, , , ,GLC, ,30.29068049,78.48725977,India,IN,Uttaranchal,Alaknanda,24.68,1596844800000.0,1606348800000,8737161.791689752,3540969.099779154,2018-09-03
388,jkupdates.in,https://www.instagram.com/p/Bn0u71dApng/,14360,1537228800000.0,unknown,Anokhi Falls Landslide,Srinagar-Jammu NH blocked due to landslide near Anokhi Falls.,"NH-44, Banihal, Ramban, Jammu & Kashmir, 182148",5km,landslide,unknown,unknown,above_road,0,0, , , ,GLC, ,33.25717564,75.19682011,India,IN,Jammu and Kashmir,Chaunkri,17.98,1595462400000.0,1606348800000,8370871.723584643,3929489.691180328,2018-09-18
390,Daiji World,https://www.daijiworld.com/news/newsDisplay.aspx?newsID=536436,14468,1541376000000.0,unknown,Landslide hit the Jammu-Srinagar highway,A massive landslide hit the Jammu-Srinagar highway in Jammu and Kashmir's Ramban district. Three truckers went missing.,"Jammu-Srinagar highway in Battery Chashma area, Ramban, Jammu & Kashmir, 182144",5km,landslide,continuous_rain,medium,above_road,3,0, , ,Incessant rains caused multiple landslides in Ramban district during the week.,GLC, ,33.23064797,75.25138307,India,IN,Jammu and Kashmir,Chaunkri,21.14,1596585600000.0,1606348800000,8376945.645064615,3925958.793769088,2018-11-05
394,Mangalore Today,http://www.mangaloretoday.com/headlines/800-students-stranded-in-landslide-hit-Himachal-s-Chamba-safe-in-a-school-say-officials.html,14282,1537833600000.0,unknown,Mandi Town Landslide,Heavy landslide hindered vehicular movement on the Chandigarh-Manali Highway beyond Mandi Town after continuous rain heavily hit the Kullu district of Himachal Pradesh.,"NH3, Mandi Town, Kullu, Himachal Pradesh, IND",50km,landslide,continuous_rain,medium,above_road,0,0, , ,Accuracy is low due to lack of detail in article.,GLC, ,31.70552778,76.93438889,India,IN,Himachal Pradesh,Mandi,0.73,1598832000000.0,1606348800000,8564296.99561517,3724718.3391942787,2018-09-25
